BORDERES-SUR-L'ECHEZ;TARBES;4
BOURREAC;LEZIGNAN;1.5
BOURREAC;PAREAC;2.5
BRISCOUS;LES SALINES;1.5
BRISCOUS;HASPARREN;8
BRISCOUS;URT;7
BUGNEIN;NAVARRENX;3.5
BUGNEIN;LOUBIENG;10.5
BURGARONNE;SAUVETERRE-DE-BEARN;3.5
BURGIA;BARCUS;1.5
BURGIA;LANNE-EN-BARETOUS;11
BUROS;PAU;9
BUZIET;BUZY;1.5
BUZY;BELAIR;4
CAMALES;BAZILLAC;3.5
CAMALES;ANDREST;6
CAMOU-CIHIGUE;ALCAY;4.5
CARRESSE;SALIES-DE-BEARN;7
CARRESSE;LAHONTAN;7
CASENAVE;LA CORNE;5.5
CASTILLON;TROUBETOT;2.5
CAUTERETS;PONT-D'ESPAGNE;8
CAUTERETS;LA FRUITIERE;6
CAUTERETS;CAMBASQUE;5.5
CAZAUDEHORE (AURIAC);NAVAILLES-ANGOS;6.5
CESCAU;BEDOU;3.5
CESCAU;D945-D208;5
CHALET;MENDIVE;13
CHALET;ESTERENCUBY;20
CHATEAU D'ABBADIE;HENDAYE-PLAGE;2
CHATEAU D'ARTIGAU;SUSMIOU;6
CHATEAU D'ARTIGAU;L'HOPITAL-SAINT-BLAISE;6.5
CHERAUTE;MAULEON-LICHARRE;3
CHERCHEBRUIT;AINHOA;5
CHERCHEBRUIT;SAINT-PEE-SUR-NIVELLE;4.5
CHERCHEBRUIT;DANCHARIA;6.5
CLAVERIE;MONEIN;9
CLAVERIE;LUCQ-DE-BEARN;1
COL D'AHUSQUY;MENDIVE;13
COL D'AHUSQUY;AUSSURUCQ;14
COL D'AHUSQUY;COL DE BAGARGUI;14
COL D'AUBISQUE;COL DU SOULOR;10
COL DE BAGARGUI;CHALET;7
COL DE LABAYS;LA MOULINE;9.5
COL DE LABAYS;COL DU SOUDET;5
COL DE LIZARIETTA;SARE;10.5
COL DE MARIE-BLANQUE;BILHERES;8
COL DE SAINT-IGNACE;SARE;3
COL DE SUSCOUSSE;SAINTE-ENGRACE;6
COL DE SUSCOUSSE;DULON;15
COL DE SUSTARY;BURGIA;10
COL D'IBARDIN;VERA-DE-BIDASSOA;6.5
COL D'ICHERE;PONT-SUZON;4
COL D'ISPEGUY;ERRAZU;9
COL D'OSQUICH;MUSCULDY;6.5
COL DU SOUDET;COL DE SUSCOUSSE;4.5
COL DU SOULOR;ARRENS;8
CONSTANTINE;PEYREHORADE;3
D124-D29;AUTEVIELLE;5.5
D124-D29;D125-D29;3
D125-D29;ESCOS;5
D125-D29;D29-D656;4
D125-D29;ESCOS;5
D125-D29;AUTEVIELLE;5.5
D14-D245;SAINT-ESTEBEN;7
D22-D250;USTARITZ;6
D245-D251;SAINT-ESTEBEN;4.5
D245-D251;ARMENDARITS;3.5
D245-D251;HELETTE;4
D24-D346;GAN;5
D24-D346;LASSEUBE;5.5
D24-D346;AUBERTIN;8
D250-D3;USTARITZ;6
D250-D3;SAINT-PEE-SUR-NIVELLE;7
D250-D3;BASSUSSARY;9
D250-D3;SAINT-PEE-SUR-NIVELLE;7
D250-D3;USTARITZ;5.5
D250-D3;ARCANGUES;7
D255-D755;ARCANGUES;5
D255-D755;D255-D855;3
D255-D855;AHETZE;2.5
D255-D855;LA NEGRESSE;5
D257-D22;MENTACHOURY;2
D257-D22;VILLEFRANQUE;3
D257-D22;D22-D250;6.5
D261-D312;LAHONCE;4
D261-D312;BAYONNE;5
D26-D113;LA CASERNE;5.5
D26-D113;LOGIBAR;6
D26-D759;HAUX;2
D26-D759;D26-D113;3.5
D28-D29;AUTERRIVE;2
D29-D656;LABASTIDE-VILLEFRANCHE;1.5
D29-D656;D125-D29;4
D2-D501;LAROIN;2
D2-D501;N117-D501;1.5
D2-D93;BORDERES-SUR-L'ECHEZ;2
D2-D93;LA BARAQUE;3.5
D2-N134;GAN;6
D33-D2;MONEIN;5.5
D33-D2;ARBUS;6.5
D35-D936;BRUGES;2
D35-D936;ASSON;1
D35-D936;NAY;5
D40-D206;MERACQ;9.5
D40-D206;NAVAILLES-ANGOS;2.5
D40-D206;FICHOU;7
D7-D42;SEDZERE;3.5
D7-D47;SERON;6.5
D7-D47;BALEIX;4
D7-D47;PONTIACQ-VIELLEPINTE;4
D8-D518;IHOLDY;7
D8-D518;SAINT-PALAIS;10.5
D912-D913;CHATEAU D'ABBADIE;5.5
D918-D20;ESPELETTE;1
D918-D20 EST;D932-D918;1
D918-D919;ARETTE;3
D918-D919;LANNE-EN-BARETOUS;2
D921-D12;LUZ-SAINT-SAUVEUR;2
D932-A63;BASSUSSARY;3.5
D932-D918;CAMBO-LES-BAINS;2
D932-D918;SUD DE CAMBO;2
D932-D918;ROND-POINT D932;4
D936-D23;MONTFORT;9
D936-D25;SAINT-GOIN;2.5
D936-D25;L'HOPITAL-SAINT-BLAISE;4.5
D936-D25;PRECHACQ-NAVARRENX;3
D936-D933;D936-D23;0.5
D936-D933;AUTEVIELLE;2.5
D936-D933;SAUVETERRE-DE-BEARN;1
D936-D933;SAINT-PALAIS;10.5
D937-D407;LOUCRUP;2
D937-D936 (MIREPEIX);IGON;4
D937-D936 (MIREPEIX);NAY;1.5
D937-D936 (MIREPEIX);BENEJACQ;3.5
D937-D936 (MIREPEIX);BAUDREIX;3.5
D937-D936 (MIREPEIX);LAGOS;4
D943-D42;D7-D42;3.5
D943-D42;ESCOUBES;3.5
D943-D42;MONASSUT-AUDIRACQ;3
D945-D208;D945-D509;5.5
D945-D49;TROUBETOT;6
D945-D49;TROUBETOT;6
D945-D509;LESCAR;2
DANCHARIA;AINHOA;3
DANCHARIA;ZUGARRAMURDI;5
DENGUIN;N117-D509;5
DOGNEN;PRECHACQ-NAVARRENX;2.5
DULON;LANNE-EN-BARETOUS;8
ELIZONDO;IRURITA;3
ENDERLAZA;BEHOBIE;7.5
ERRAZU;N121-NA260;4
ESCOS;AUTERRIVE;2.5
ESCOS;D28-D29;1.5
ESCOT;COL DE MARIE-BLANQUE;10
ESCOU;HERRERE-DE-BAS;1.5
ESCOUBES;SEVIGNACQ;3.5
ESCOUBES-POUTS;D937-D407;2
ESCOUBES-POUTS;BOURREAC;3.5
ESPELETTE;D918-D20 EST;2.5
ESPOEY;SOUMOULOU;3
ESPOEY;LA CORNE;4
ESQUIULE;OLORON;9
ESTAING;LAC D'ESTAING;4
ESTAING;SIREIX;4
ESTERENCUBY;SAINT-JEAN-PIED-DE-PORT;8
ESTIALESCQ;GOES;4.5
ETCHALAR;COL DE LIZARIETTA;8
ETCHARRY;SAINT-PALAIS;9
ETCHARRY;NABAS;6
ETCHARRY;UNDUREIN;6.5
ETCHEGORRIA;GARRIS;4
ETCHEGORRIA;LABETS-BISCAY;3
EYSUS;OLORON;7
FEAS;ARAMITS;6
FEAS;OLORON;8
FEAS;BURGIA;12
FERRIERES;ARBEOST;3.5
FICHOU;MAZEROLLES;5
FICHOU;ARZACQ-ARRAZIGUET;8.5
GABAS;LAC DE BIOUS-ARTIGUES;4.5
GABAS;COL DU POURTALET;15
GABASTON;SAINT-JAMMES;3.5
GABASTON;D7-D42;2.5
GABAT;D124-D29;3
GAHARDOU;SAINT-MARTIN-D'ARROSSA;1.5
GARDERES;ESLOURENTIES;3.5
GARRIS;SAINT-PALAIS;2.5
GARRIS;AMENDEUIX;2
GARRIS;D14-D245;8.5
GER;LA CORNE;5
GER;CASENAVE;6.5
GERONCE;OLORON;9
GOES;LEDEUIX;4
GOES;ESCOU;5.5
GOTEIN-LIBARRENX;MAULEON-LICHARRE;3.5
GOURETTE;COL D'AUBISQUE;4
GRECIETTE;BONLOC;2.5
GRECIETTE;HELETTE;5.5
GUETARY;AHETZE;5
GUETARY;SAINT-JEAN-DE-LUZ NORD;3
GUICHE;HASTINGUES;6
GURS;D936-D25;4
HAGETAUBIN;PERRIN;4
HASTINGUES;PEYREHORADE;4
HAUT DE MORLAAS;OUSSE;6
HAUT DE MORLAAS;AUCHAN;5.5
HELETTE;IRISSARRY;5.5
HENDAYE;BEHOBIE;2
HENDAYE-PLAGE;HENDAYE;2
HERBOURE;URRUGNE;3.5
HERBOURE;COL D'IBARDIN;4
HERRERE-DE-BAS;BELAIR;7
HERRERE-DE-BAS;OGEU-LES-BAINS;3.5
HIBARETTE;BENAC;2
HIBARETTE;LOUEY;2
HIIS;ARCIZAC-ADOUR;2
HORGUES;LALOUBERE;2
IBOS;AZEREIX;2
IGON;LESTELLE-BETHARRAM;3.5
IHOLDY;ARMENDARITS;2.5
IRISSARRY;IHOLDY;5.5
IRISSARRY;GAHARDOU;7.5
IRISSARRY;LACARRE;10.5
IRURITA;ORONOZ;6.5
ISSOR;ARETTE;5.5
ISSOR;LOURDIOS-ICHERE;6
ISTURITS;AUCHOTEA;7
ITXASSOU;LOUHOSSOA;5
ITXASSOU;ESPELETTE;6
JASSES;DOGNEN;2.5
JASSES;CLAVERIE;7.5
JATXOU;USTARITZ;3
JATXOU;CAMBO-LES-BAINS;5.5
JUILLAN;TARBES;5.5
JUILLAN;OSSUN AEROPORT;2
JUILLAN;AZEREIX;4.5
JULOS;ADE;5
JULOS;LOURDES;6.5
LA BARAQUE;TARBES;5.5
LA BARAQUE;GER;6
LA BARAQUE;IBOS;1.5
LA BASTIDE-CLAIRENCE;QUARTIER IBARRE;2
LA BASTIDE-CLAIRENCE;A64-D936;3
LA BOURGADE;SAINT-DOS;2
LA CORNE;SOUMOULOU;6.5
LA CORNE;GARDERES;4
LA CROIX DES BOUQUETS;URRUGNE;4
LA MOULINE;ARETTE;7.5
LA NEGRESSE;BIDART;3.5
LA NEGRESSE;BIARRITZ;3
LA NEGRESSE;BASSUSSARY;3
LA PIPETTE (N117);BIARROTTE;5.5
LA PIPETTE (N117);LES BARTHES (SUR L'ADOUR);6.5
LA PIPETTE (N117);SAINT-MARTIN-DE-SEIGNANX;4
LAA-MONDRANS;ORTHEZ;5
LAA-MONDRANS;LANNEPLAA (MIGNOT);5.5
LABASTIDE-VILLEFRANCHE;D28-D29;1
LABASTIDE-VILLEFRANCHE;ESCOS;2.5
LABASTIDE-VILLEFRANCHE;BIDACHE;11.5
LABATUT;LAHIRE;2.5
LABETS-BISCAY;GABAT;4.5
LABETS-BISCAY;D124-D29;3
LABOURDETTE;SAUVETERRE-DE-BEARN;3
LABOURDETTE;ORAAS;3
LACOMMANDE;MONEIN;9
LACQ;N117-D31;1.5
LACQ;ABIDOS;2
LACQ;ARTIX;4.5
LAGARDE;OURSBELILLE;2
LAGARDE;TARASTEIX;5.5
LAGOR;MASLACQ;7.5
LAGOS;ANGAIS;4.5
LAGOS;ESPOEY;7.5
LAHERRERE;SUSMIOU;5
LAHIRE;PEYREHORADE;8
LAHONCE;LES SALINES;5
LAHONTAN;LABATUT;4.5
LAHOURCADE;MOURENX;2
LALOUBERE;TARBES;2.5
LALOUBERE;ODOS;2.5
LANNE-EN-BARETOUS;MONTORY;5.5
LANNEPLAA (MIGNOT);L'HOPITAL-D'ORION;8.5
LARCEVEAU;LACARRE;7.5
LARCEVEAU;SAINT-JUST-IBARRE;5.5
LAROIN;D2-N134;6
LARRAU;COL DE BAGARGUI;13.5
