D936-D23;-0.94;43.39
D936-D25;-0.73;43.26
D936-D933;-0.95;43.39
D937-D407;0.05;43.11
D937-D936 (MIREPEIX);-0.25;43.19
D943-D42;-0.21;43.4
D945-D208;-0.46;43.38
D945-D49;-0.5;43.45
D945-D509;-0.44;43.35
DANCHARIA;-1.5;43.29
DENGUIN;-0.5;43.37
DOGNEN;-0.74;43.28
DULON;-0.8;43.05
ELIZONDO;-1.52;43.14
ENDERLAZA;-1.73;43.29
ERRAZU;-1.46;43.18
ESCOS;-1;43.45
ESCOT;-0.6;43.08
ESCOU;-0.54;43.18
ESCOUBES;-0.23;43.42
ESCOUBES-POUTS;0.03;43.12
ESLOURENTIES;-0.14;43.3
ESPELETTE;-1.45;43.34
ESPOEY;-0.17;43.24
ESQUIULE;-0.72;43.2
ESTAING;-0.18;42.93
ESTERENCUBY;-1.2;43.1
ESTIALESCQ;-0.55;43.22
ETCHALAR;-1.63;43.23
ETCHARRY;-0.93;43.32
ETCHEGORRIA;-1.07;43.36
EYSUS;-0.58;43.14
FEAS;-0.69;43.16
FERRIERES;-0.26;43.01
FICHOU;-0.45;43.49
GABAS;-0.43;42.89
GABASTON;-0.21;43.36
GABAT;-1.04;43.37
GAHARDOU;-1.3;43.24
GAN;-0.38;43.23
GARDERES;-0.11;43.28
GARRIS;-1.05;43.35
GER;-0.05;43.25
GERONCE;-0.69;43.24
GOES;-0.59;43.2
GOTEIN-LIBARRENX;-0.9;43.2
GOURETTE;-0.33;42.96
GRECIETTE;-1.28;43.35
GROTTES DE BETHARRAM;-0.2;43.1
GUETARY;-1.6;43.42
GUICHE;-1.2;43.52
GURS;-0.75;43.28
HAGETAUBIN;-0.62;43.52
HASPARREN;-1.3;43.38
HASTINGUES;-1.15;43.53
HAUT DE MORLAAS;-0.28;43.33
HAUX;-0.85;43.08
HELETTE;-1.24;43.3
HENDAYE;-1.77;43.35
HENDAYE-PLAGE;-1.77;43.37
HERBOURE;-1.69;43.33
HERRERE-DE-BAS;-0.53;43.17
HIBARETTE;0.03;43.17
HIIS;0.1;43.13
HORGUES;0.09;43.19
IBOS;0;43.23
IGON;-0.23;43.17
IHOLDY;-1.18;43.28
IRISSARRY;-1.23;43.27
IRURITA;-1.55;43.13
ISSOR;-0.67;43.1
ISTURITS;-1.2;43.37
ITXASSOU;-1.4;43.33
JASSES;-0.75;43.32
JATXOU;-1.43;43.38
JUILLAN;0.02;43.2
JULOS;0.01;43.13
LA BARAQUE;0;43.24
LA BASTIDE-CLAIRENCE;-1.25;43.43
LA BOURGADE;-1.04;43.49
LA CASERNE;-0.85;43.01
LA CORNE;-0.11;43.25
LA CROIX DES BOUQUETS;-1.74;43.35
LA FRUITIERE;-0.1;42.85
LA MOULINE;-0.76;43.05
LA NEGRESSE;-1.54;43.46
LA PIPETTE (N117);-1.34;43.55
LAA-MONDRANS;-0.77;43.45
LAAS;-0.85;43.38
LABASTIDE-VILLEFRANCHE;-1.02;43.45
LABATUT;-0.98;43.55
LABETS-BISCAY;-1.05;43.38
LABOURDETTE;-0.96;43.42
LAC DE BIOUS-ARTIGUES;-0.45;42.87
LAC D'ESTAING;-0.2;42.91
LACARRE;-1.17;43.19
LACARRY;-0.92;43.08
LACOMMANDE;-0.5;43.28
LACQ;-0.63;43.42
LAGARDE;0.03;43.31
LAGOR;-0.65;43.39
LAGOS;-0.22;43.22
LAHERRERE;-0.82;43.31
LAHIRE;-1;43.55
LAHONCE;-1.39;43.48
LAHONTAN;-0.97;43.53
LAHOURCADE;-0.62;43.35
LALOUBERE;0.07;43.21
LANNE-EN-BARETOUS;-0.76;43.11
LANNEPLAA (MIGNOT);-0.8;43.46
LARCEVEAU;-1.1;43.23
LAROIN;-0.43;43.3
LARRAU;-0.95;43.02
LARUNS;-0.43;42.99
LASCLAVERIES;-0.28;43.43
LASSEUBE;-0.48;43.23
LAVIE;-0.89;43.48
LAYRISSE;0.04;43.14
LE BOURGUET;-0.98;43.46
LE HAMEAU D'OUSSE;-0.26;43.27
LEDEUIX;-0.62;43.21
LEMBEYE;-0.11;43.45
LES BARTHES (SUR L'ADOUR);-1.32;43.51
LES EAUX-BONNES;-0.39;42.97
LES EAUX-CHAUDES;-0.44;42.95
LES PINDATS;-0.35;43.18
LES SALINES;-1.34;43.46
LESACA;-1.7;43.25
LESCAR;-0.42;43.33
LESPOURCY;-0.15;43.36
LESTELLE-BETHARRAM;-0.21;43.13
LEZIGNAN;-0.01;43.1
L'HOPITAL-D'ORION;-0.85;43.43
L'HOPITAL-SAINT-BLAISE;-0.77;43.25
LIMENDOUS;-0.18;43.28
LOGIBAR;-0.93;43.02
LOHITZUN;-0.98;43.28
LOUBAJAC;-0.08;43.13
LOUBIENG;-0.75;43.43
LOUCRUP;0.07;43.12
LOUEY;0.02;43.18
LOUHOSSOA;-1.35;43.31
LOURDES;-0.05;43.1
LOURDIOS-ICHERE;-0.67;43.05
LOURENTIES;-0.17;43.28
LOUVIE-JUZON;-0.42;43.09
LUCQ-DE-BEARN;-0.66;43.29
LUZ-SAINT-SAUVEUR;-0.01;42.87
LYS;-0.35;43.13
MACHAIN;-1.68;43.25
MASLACQ;-0.7;43.44
MASPARRAUTE;-1.08;43.38
MAUBOURGUET;0.03;43.47
MAUCOR;-0.28;43.35
MAULEON-LICHARRE;-0.89;43.22
MAYA D'EL BAZTAN;-1.48;43.2
MAZEROLLES;-0.47;43.45
MEILLON;-0.32;43.27
MENDIONDE;-1.3;43.34
MENDIVE;-1.13;43.13
MENTACHOURY;-1.42;43.45
MERACQ;-0.38;43.52
MIEGEBAT;-0.45;42.93
MIFAGET;-0.32;43.11
MIRASSOU;-0.27;43.24
MOMY;-0.11;43.4
MONASSUT-AUDIRACQ;-0.2;43.42
MONCAYOLLE;-0.85;43.27
MONEIN;-0.58;43.32
MONTANER;0;43.35
MONTESTRUCQ;-0.81;43.43
MONTFORT;-0.85;43.37
MONTGAILLARD;0.11;43.12
MONTORY;-0.82;43.1
MONTPELLIER (SUR L'ADOUR);-1.3;43.51
MORLAAS;-0.26;43.35
MORLANNE;-0.53;43.52
MOUGUERRE;-1.42;43.47
MOULIN NEUF;-1.57;43.36
MOURENX;-0.63;43.37
MUSCULDY;-0.96;43.2
N117-D31;-0.65;43.42
N117-D501;-0.42;43.32
N117-D509;-0.46;43.34
N121-NA260;-1.49;43.18
N121-NA440;-1.67;43.24
N134-D716;-0.38;43.36
N134-D918;-0.63;43.11
NABAS;-0.87;43.33
NARP;-0.83;43.37
NAVAILLES-ANGOS;-0.33;43.42
NAVARRENX;-0.75;43.33
NAY;-0.27;43.18
ODOS;0.05;43.2
OGEU-LES-BAINS;-0.5;43.15
OLHETTE;-1.67;43.33
OLORON;-0.61;43.19
ORAAS;-0.98;43.43
ORDIAP;-0.94;43.18
OREGUE (LA HARANNE);-1.14;43.38
ORINCLES;0.04;43.13
ORION;-0.86;43.42
OROIX;-0.03;43.3
ORONOZ;-1.61;43.14
ORRIULE;-0.85;43.4
ORTHEZ;-0.78;43.49
OS-MARSILLON;-0.62;43.39
OSSUN;-0.03;43.18
OSSUN AEROPORT;0.01;43.18
OSTABAT;-1.07;43.25
OURSBELILLE;0.03;43.29
OUSSE;-0.27;43.28
PAGOLLE;-0.98;43.23
PARDIES-PIETAT;-0.3;43.21
PAREAC;0.02;43.12
PAU;-0.36;43.3
PERRIN;-0.61;43.48
PEYREHORADE;-1.1;43.55
PEYROU;-0.5;43.51
PEYROUSE;-0.12;43.1
PIERREFITE-NESTALAS;-0.07;42.96
PINTAC;-0.01;43.28
PONSON-DESSUS;-0.05;43.32
PONT D'ASSAT;-0.31;43.24
PONT DE QUINQUIL;-1.01;43.31
PONT DES GROTTES;-0.19;43.11
PONT LATAPIE;-0.25;43.12
PONTACQ;-0.12;43.18
PONT-D'ESPAGNE;-0.14;42.85
PONTIACQ-VIELLEPINTE;-0.05;43.37
PONT-SUZON;-0.61;43.03
PORT DE RONCEVEAUX;-1.32;43.02
PORT D'OTXONDO;-1.49;43.24
PORT-DE-LANNE;-1.18;43.57
POTEAU DE LANNES;-0.57;43.49
POUZAC;0.13;43.08
PRECHACQ-NAVARRENX;-0.71;43.28
PUYOO;-0.92;43.53
QUARTIER IBARRE;-1.25;43.46
QUARTIER NEUF DE SAINT-MARTIN-DE-SEIGNANX;-1.39;43.53
REBENACQ;-0.4;43.16
RIVEHAUTE;-0.88;43.35
ROND-POINT D932;-1.44;43.38
RONTIGNON;-0.33;43.27
ROSPIDE;-0.91;43.2
SAINT MARTIN HARRIAGUE;-1.34;43.38
SAINT-CASTIN;-0.3;43.38
SAINT-CHRISTAU;-0.59;43.12
SAINT-DOS;-1.02;43.47
SAINTE-COLOME;-0.4;43.1
SAINTE-ENGRACE;-0.82;43
SAINT-ESTEBEN;-1.22;43.33
SAINT-ETIENNE-DE-BAIGORRY;-1.34;43.18
SAINT-GOIN;-0.7;43.25
SAINT-JAMMES;-0.24;43.36
SAINT-JEAN-DE-LUZ;-1.67;43.39
SAINT-JEAN-DE-LUZ NORD;-1.63;43.4
SAINT-JEAN-LE-VIEUX;-1.18;43.17
SAINT-JEAN-PIED-DE-PORT;-1.24;43.16
